Year;Region;RegionCode;Country;CountryCode;DataCategory;DataCategoryCode;IndicatorCoverageAndDisaggregation;DataAvailableLast5Years;DataAvailableLast10Years;FirstAdministrativeLevel;SecondAdministrativeLevel;CoverageSubscore;MachineReadability;NonProprietary;DownloadOptions;MetadataAvailability;TermsOfUse;OpennessSubscore;OverallScore
2024;Northern Europe;EUN;Sweden;SWE;Social statistics;3;8;7,5;7,5;5,5;4;32,5;9;9;7;6;6,5;37,5;70
2018;Northern Europe;EUN;Finland;FIN;Social statistics;3;8,5;8;8;4,5;3,5;32,5;7;8;5,5;7,5;8,5;36,5;69
2020;Northern Europe;EUN;Denmark;DNK;Social statistics;3;7,5;7,5;7,5;4,5;5;32;9;9;7;9;9;43;75
2018;Northern Europe;EUN;Denmark;DNK;Social statistics;3;7,5;7,5;7;4,5;5,5;32;9;9;6,5;9;9;42,5;74,5
2024;Central America;AMM;Mexico;MEX;Social statistics;3;9,5;6,5;6,5;7;2,5;32;8,5;10;7,5;6;8,5;40,5;72,5
2024;Eastern Europe;EUE;Romania;ROU;Social statistics;3;8;7;6,5;6;4,5;32;8,5;10;8,5;8;5;40;72
2020;Northern Europe;EUN;Sweden;SWE;Social statistics;3;8,5;8,5;8;4;3;32;8,5;8;7,5;8;7;39;71
2022;Western Asia;ASW;United Arab Emirates;ARE;Social statistics;3;10;8,5;8,5;4,5;0;31,5;9;10;7,5;6,5;9;42;73,5
2024;North America;AMN;United States;USA;Social statistics;3;8,5;7,5;7;5,5;3;31,5;9,5;10;7,5;5;10;42;73,5
2018;North America;AMN;Canada;CAN;Social statistics;3;7,5;7;7;6;4;31,5;8,5;9;6;9;4;36,5;68
2024;Northern Europe;EUN;Norway;NOR;Social statistics;3;8;8;7,5;5;2,5;31;10;10;9;6,5;10;45,5;76,5
2024;Southern Europe;EUZ;Italy;ITA;Social statistics;3;8;7;6;6;4;31;10;10;8;5;7,5;40,5;71,5
2022;South America;AMZ;Ecuador;ECU;Social statistics;3;9,5;7,5;7;5,5;1,5;31;10;9,5;5;5;9,5;39;70
2024;South America;AMZ;Brazil;BRA;Social statistics;3;8,5;6,5;6;6,5;3,5;31;9,5;10;6,5;5;0;31;62
2020;North America;AMN;Canada;CAN;Social statistics;3;8;7;6,5;6;3;30,5;9;10;7,5;8;4;38,5;69
2020;Southern Europe;EUZ;Spain;ESP;Social statistics;3;8,5;8;8;4;2;30,5;8,5;10;6;8,5;5;38;68,5
2022;Eastern Europe;EUE;Slovakia;SVK;Social statistics;3;8;8;7;4;3;30;10;10;9;5;10;44;74
2018;Eastern Europe;EUE;Poland;POL;Social statistics;3;8;7;6,5;5;3,5;30;9;9;5;6,5;9;38,5;68,5
2018;Northern Europe;EUN;Norway;NOR;Social statistics;3;7,5;7,5;7;5;3;30;9;9;5;6;5;34;64
2020;Eastern Europe;EUE;Belarus;BLR;Social statistics;3;9;7;6,5;5;2,5;30;8;10;6,5;7;0;31,5;61,5
2024;Western Europe;EUW;Switzerland;CHE;Social statistics;3;8,5;8;7,5;5;1;30;8;10;5;5,5;0,5;29;59
2024;Western Europe;EUW;Netherlands;NLD;Social statistics;3;9;7,5;7,5;3;2,5;29,5;10;10;9;9,5;10;48,5;78
2024;South-Eastern Asia;ASE;Singapore;SGP;Social statistics;3;9;9;9;2,5;0;29,5;10;10;10;8,5;10;48,5;78
2022;Western Europe;EUW;Netherlands;NLD;Social statistics;3;8,5;6,5;7,5;3,5;3,5;29,5;10;10;7,5;9,5;10;47;76,5
2024;Southern Europe;EUZ;Slovenia;SVN;Social statistics;3;8,5;8;7;5;1;29,5;9;10;8;9;9,5;45,5;75
2022;Northern Europe;EUN;Norway;NOR;Social statistics;3;7,5;7,5;7,5;5;2;29,5;9,5;10;7,5;8;10;45;74,5
2022;Southern Europe;EUZ;Slovenia;SVN;Social statistics;3;8,5;7,5;7;5;1,5;29,5;9;10;8;8,5;7,5;43;72,5
2024;Eastern Asia;ASF;Mongolia;MNG;Social statistics;3;8;6,5;6,5;6;2,5;29,5;9;10;7;6;8;40;69,5
2024;Central America;AMM;Costa Rica;CRI;Social statistics;3;9;7;6;4;3,5;29,5;10;9;5;7;8;39;68,5
2022;Southern Europe;EUZ;Spain;ESP;Social statistics;3;8;6,5;7;6;2;29,5;9;10;6,5;8;5;38,5;68
2022;Western Asia;ASW;Palestine;PSE;Social statistics;3;9,5;6;4,5;5,5;4;29,5;7,5;10;4,5;5;9,5;36,5;66
2016;North America;AMN;United States;USA;Social statistics;3;7,5;7;6,5;5;3,5;29,5;7,5;7,5;4;7,5;5,5;32;61,5
2020;Eastern Asia;ASF;Mongolia;MNG;Social statistics;3;8;6,5;6,5;4,5;3,5;29;10;10;8;8,5;9;45,5;74,5
2024;Western Europe;EUW;Germany;DEU;Social statistics;3;9;6,5;7,5;4,5;1,5;29;10;10;6,5;6;10;42,5;71,5
2020;Southern Europe;EUZ;Slovenia;SVN;Social statistics;3;8,5;7,5;6,5;4;2,5;29;8,5;9,5;6;8;8;40;69
2024;Western Asia;ASW;Palestine;PSE;Social statistics;3;8;5;4;6,5;5,5;29;8;10;4,5;5;9,5;37;66
2020;Western Asia;ASW;Palestine;PSE;Social statistics;3;9,5;5;5;7;2,5;29;6;10;5;5;9,5;35,5;64,5
2022;Northern Africa;AFN;Morocco;MAR;Social statistics;3;8,5;6;5,5;5;4;29;6,5;10;5,5;5;7;34;63
2024;Central Asia;ASC;Kazakhstan;KAZ;Social statistics;3;9;5,5;6;7,5;1;29;7,5;8,5;4,5;5;8;33,5;62,5
2016;Northern Europe;EUN;Lithuania;LTU;Social statistics;3;7;7;6,5;4,5;4;29;8;8;3,5;6,5;4;30;59
2024;South-Eastern Asia;ASE;Philippines;PHL;Social statistics;3;8,5;6;5,5;6;2,5;28,5;8,5;10;4,5;5;10;38;66,5
2017;Southern Europe;EUZ;Italy;ITA;Social statistics;3;6;5;5,5;6;6;28,5;8;9;7;5;7,5;36,5;65
2016;Northern Europe;EUN;Sweden;SWE;Social statistics;3;6,5;6;6;5,5;4,5;28,5;8;6;5,5;7,5;5;32;60,5
2024;Western Asia;ASW;T?rkiye;TUR;Social statistics;3;9,5;7,5;7,5;1;3;28,5;10;6;5,5;5,5;3,5;30,5;59
2024;South America;AMZ;Colombia;COL;Social statistics;3;7,5;5,5;6;6;3,5;28,5;5;8;5;4,5;4,5;27;55,5
2024;Eastern Asia;ASF;Hong Kong SAR, China;HKG;Social statistics;3;8,5;8;8,5;3;0;28;10;10;7,5;7,5;10;45;73
2024;Eastern Europe;EUE;Slovakia;SVK;Social statistics;3;7,5;7,5;7;4;2;28;10;10;9;5,5;10;44,5;72,5
2022;Eastern Asia;ASF;Korea, Rep.;KOR;Social statistics;3;8;6,5;7;4;2,5;28;9,5;10;8,5;5;8,5;41,5;69,5
2022;Western Europe;EUW;Germany;DEU;Social statistics;3;7,5;7;6,5;4,5;2,5;28;10;10;6,5;5;9,5;41;69
2022;Northern Europe;EUN;Sweden;SWE;Social statistics;3;7;6,5;6,5;4;4;28;9;9;6,5;6,5;7;38;66
2020;Eastern Europe;EUE;Hungary;HUN;Social statistics;3;7;6,5;6,5;4,5;3,5;28;9,5;9,5;5,5;7,5;0;32;60
2018;Southern Europe;EUZ;Spain;ESP;Social statistics;3;7;6,5;6,5;6;2;28;7;8,5;4;8;3,5;31;59
2022;Western Europe;EUW;Switzerland;CHE;Social statistics;3;8;7,5;7;5;0,5;28;8,5;10;6;5,5;0,5;30,5;58,5
2024;South America;AMZ;Chile;CHL;Social statistics;3;8,5;5,5;5,5;7;1,5;28;6;10;4,5;5;5;30,5;58,5
2020;South America;AMZ;Peru;PER;Social statistics;3;8,5;7,5;8;3;1;28;9;9,5;6;5;0;29,5;57,5
2024;Southern Europe;EUZ;Portugal;PRT;Social statistics;3;7;7;6,5;4,5;2,5;27,5;10;10;8;9,5;10;47,5;75
2020;Eastern Europe;EUE;Slovakia;SVK;Social statistics;3;8;6,5;6,5;4;2,5;27,5;10;10;9;5,5;9,5;44;71,5
2022;Central Asia;ASC;Uzbekistan;UZB;Social statistics;3;7,5;7;6,5;5;1,5;27,5;10;10;6;5,5;10;41,5;69
2020;Northern Europe;EUN;Norway;NOR;Social statistics;3;7;7;6,5;4,5;2,5;27,5;9,5;10;8;8,5;5;41;68,5
2017;Northern Europe;EUN;Denmark;DNK;Social statistics;3;6,5;5,5;5,5;5,5;4,5;27,5;8;8;7;7,5;8;38,5;66
2024;South America;AMZ;Ecuador;ECU;Social statistics;3;9;5,5;6;6;1;27,5;9;9,5;5;5;9,5;38;65,5
2017;Northern Europe;EUN;Norway;NOR;Social statistics;3;7;7;7;4,5;2;27,5;8,5;9;6,5;4,5;4,5;33;60,5
2020;Eastern Europe;EUE;Czech Republic;CZE;Social statistics;3;8;6;7;4,5;2;27,5;8;9,5;2,5;6;5;31;58,5
2022;Eastern Europe;EUE;Belarus;BLR;Social statistics;3;8;6;6,5;4;3;27,5;8;10;6,5;6;0;30,5;58
2024;Southern Europe;EUZ;North Macedonia;MKD;Social statistics;3;8,5;7;6,5;2,5;3;27,5;7;10;6,5;6;0;29,5;57
2022;South America;AMZ;Brazil;BRA;Social statistics;3;8;6,5;5,5;4,5;3;27,5;8,5;10;5;5,5;0,5;29,5;57
2024;Caribbean;AMC;Dominican Republic;DOM;Social statistics;3;9;7,5;6,5;2,5;2;27,5;7,5;10;4,5;5,5;1;28,5;56
2022;Eastern Asia;ASF;Mongolia;MNG;Social statistics;3;8;7;6,5;3,5;2;27;10;10;8;9;9;46;73
2022;Southern Europe;EUZ;Portugal;PRT;Social statistics;3;7;6,5;6;3,5;4;27;10;10;7;8;10;45;72
2024;Eastern Europe;EUE;Hungary;HUN;Social statistics;3;7;6,5;6,5;3,5;3,5;27;10;10;6,5;7;9,5;43;70
2022;Eastern Asia;ASF;Hong Kong SAR, China;HKG;Social statistics;3;8,5;7,5;8;3;0;27;10;10;5;8;10;43;70
2018;Western Europe;EUW;Netherlands;NLD;Social statistics;3;7;7;7;3;3;27;9;9;6;9;9;42;69
2024;Northern Africa;AFN;Morocco;MAR;Social statistics;3;8;5,5;6;4;3,5;27;8,5;10;6;5,5;10;40;67
2024;Eastern Europe;EUE;Moldova;MDA;Social statistics;3;8;7,5;7,5;3;1;27;7,5;10;7;5,5;9,5;39,5;66,5
2024;Eastern Asia;ASF;Japan;JPN;Social statistics;3;7,5;6,5;6,5;4;2,5;27;7;9,5;5;5,5;10;37;64
2020;Western Europe;EUW;France;FRA;Social statistics;3;9;6;6;3,5;2,5;27;7;5,5;4;8,5;9;34;61
2024;Central Asia;ASC;Kyrgyz Republic;KGZ;Social statistics;3;8,5;7;6,5;5;0;27;7,5;6;4,5;5;4,5;27,5;54,5
2024;Western Asia;ASW;Georgia;GEO;Social statistics;3;9;6,5;6,5;3,5;1;26,5;9,5;10;6;6,5;9;41;67,5
2024;Australia and New Zealand;OAZ;New Zealand;NZL;Social statistics;3;8,5;7,5;8;1,5;1;26,5;9;10;6;5;10;40;66,5
2020;Eastern Asia;ASF;Hong Kong SAR, China;HKG;Social statistics;3;8,5;8,5;8;1,5;0;26,5;9,5;9,5;4;7,5;9;39,5;66
2022;South-Eastern Asia;ASE;Philippines;PHL;Social statistics;3;8;5;4,5;6,5;2,5;26,5;8,5;10;4,5;6;10;39;65,5
2020;Northern Europe;EUN;Lithuania;LTU;Social statistics;3;9;7,5;6,5;2;1,5;26,5;10;10;7,5;10;0;37,5;64
2017;North America;AMN;Canada;CAN;Social statistics;3;7;6;5,5;6;2;26,5;9;9;7;8,5;4;37,5;64
2022;Western Europe;EUW;France;FRA;Social statistics;3;8;6,5;5,5;3;3,5;26,5;8;9,5;4;6;8,5;36;62,5
2022;Western Asia;ASW;Israel;ISR;Social statistics;3;9,5;7,5;7,5;1,5;0,5;26,5;10;9,5;5,5;5,5;5;35,5;62
2020;Western Europe;EUW;Switzerland;CHE;Social statistics;3;7,5;7;6,5;4,5;1;26,5;9,5;10;5,5;10;0;35;61,5
2017;North America;AMN;United States;USA;Social statistics;3;7;6;6;4,5;3;26,5;8;9;5;5,5;6;33,5;60
2016;Northern Europe;EUN;Finland;FIN;Social statistics;3;7;6,5;6;5;2;26,5;5,5;7,5;4,5;5;6;28,5;55
2020;South America;AMZ;Brazil;BRA;Social statistics;3;9;6;6;4,5;1;26,5;8,5;9,5;4,5;5;0,5;28;54,5
2022;Caribbean;AMC;Dominican Republic;DOM;Social statistics;3;7;6;6;4;3,5;26,5;9;9;4,5;4,5;0;27;53,5
2020;Southern Europe;EUZ;Italy;ITA;Social statistics;3;6,5;6;6;4,5;3;26;10;9;8,5;9;10;46,5;72,5
2024;Western Africa;AFW;Senegal;SEN;Social statistics;3;8;6;6,5;5,5;0;26;8,5;10;8;8,5;10;45;71
2024;Australia and New Zealand;OAZ;Australia;AUS;Social statistics;3;7,5;6,5;5,5;4,5;2;26;9,5;9;5,5;8,5;10;42,5;68,5
2020;South America;AMZ;Ecuador;ECU;Social statistics;3;8,5;6,5;5,5;4,5;1;26;9,5;9;5;5,5;8,5;37,5;63,5
2022;Southern Europe;EUZ;Serbia;SRB;Social statistics;3;7,5;6,5;5,5;3,5;3;26;8,5;10;6;6,5;5;36;62
2022;Northern Europe;EUN;Lithuania;LTU;Social statistics;3;8;7,5;6;3;1,5;26;10;10;7,5;7,5;1;36;62
2018;Northern Europe;EUN;Sweden;SWE;Social statistics;3;7;6;6,5;4;2,5;26;7,5;7;5;6;6,5;32;58
2024;South America;AMZ;Peru;PER;Social statistics;3;8;7;7;3;1;26;9,5;9;5,5;5;0;29;55
2024;Eastern Africa;AFE;Kenya;KEN;Social statistics;3;9;7;5;4;1;26;5,5;10;4;5;3;27,5;53,5
2022;Western Africa;AFW;Sierra Leone;SLE;Social statistics;3;9;4,5;2;4,5;6;26;0,5;10;2,5;5;8;26;52
2024;South America;AMZ;Bolivia;BOL;Social statistics;3;8;6;6;6;0;26;7,5;8;5;5;0;25,5;51,5
2020;Southern Asia;ASZ;Sri Lanka;LKA;Social statistics;3;9;5,5;4,5;1,5;5,5;26;4;10;6;5;0;25;51
2018;Western Europe;EUW;Switzerland;CHE;Social statistics;3;7;6,5;6,5;4;2;26;8,5;3,5;5;5;0,5;22,5;48,5
2022;South-Eastern Asia;ASE;Singapore;SGP;Social statistics;3;8,5;8,5;8,5;0;0;25,5;10;10;10;10;10;50;75,5
2020;Western Asia;ASW;Oman;OMN;Social statistics;3;8;6;6;4;1,5;25,5;10;10;9;8;10;47;72,5
2020;North America;AMN;United States;USA;Social statistics;3;7;5,5;6,5;5;1,5;25,5;9,5;10;6,5;5,5;10;41,5;67
2024;Eastern Europe;EUE;Bulgaria;BGR;Social statistics;3;6,5;6,5;6;4;2,5;25,5;9,5;10;8;9;5;41,5;67
2024;Western Asia;ASW;Israel;ISR;Social statistics;3;9;6;5;4,5;1;25,5;10;9,5;4;6,5;10;40;65,5
2022;Eastern Europe;EUE;Bulgaria;BGR;Social statistics;3;6,5;6;6;4,5;2,5;25,5;9;9;8;9;4,5;39,5;65
2018;North America;AMN;United States;USA;Social statistics;3;7;6;6,5;4,5;1,5;25,5;7,5;9;5;7,5;9;38;63,5
2024;Northern Europe;EUN;Lithuania;LTU;Social statistics;3;8;7,5;7,5;1,5;1;25,5;9,5;10;9;7;2;37,5;63
2022;Southern Europe;EUZ;Greece;GRC;Social statistics;3;7;6,5;6;4;2;25,5;5;10;3;8;10;36;61,5
2016;Northern Europe;EUN;Norway;NOR;Social statistics;3;6,5;6;6;4;3;25,5;8;8;7;8;4;35;60,5
2020;Northern Africa;AFN;Morocco;MAR;Social statistics;3;8,5;5;4,5;4,5;3;25,5;5,5;10;5;5;8;33,5;59
2022;Eastern Asia;ASF;Taiwan;TWN;Social statistics;3;7,5;6,5;6,5;5;0;25,5;7;9;4,5;5;7;32,5;58
2022;South America;AMZ;Paraguay;PRY;Social statistics;3;8;6,5;6,5;4;0,5;25,5;5,5;9;3,5;5,5;8,5;32;57,5
2022;Eastern Europe;EUE;Czech Republic;CZE;Social statistics;3;8;6;7;3,5;1;25,5;8;8,5;3,5;5;4,5;29,5;55
2020;Western Africa;AFW;Burkina Faso;BFA;Social statistics;3;9;6;5,5;5;0;25,5;7,5;10;5;5;1,5;29;54,5
2022;Southern Europe;EUZ;Albania;ALB;Social statistics;3;8;6,5;5,5;5;0,5;25,5;5,5;9,5;5,5;5;0;25,5;51
2022;Western Africa;AFW;Guinea;GIN;Social statistics;3;8,5;6;5,5;5;0,5;25,5;0;10;3,5;5;0;18,5;44
2022;Western Asia;ASW;Oman;OMN;Social statistics;3;7,5;6;6;4;1,5;25;10;10;9,5;8,5;10;48;73
2020;Western Europe;EUW;Germany;DEU;Social statistics;3;6,5;6,5;6;4;2;25;10;10;7,5;5;10;42,5;67,5
2020;South-Eastern Asia;ASE;Philippines;PHL;Social statistics;3;8;5;5;5,5;1,5;25;9;10;5;5,5;10;39,5;64,5
2018;Southern Europe;EUZ;Slovenia;SVN;Social statistics;3;7;6,5;6;3,5;2;25;8;9;6;7,5;7,5;38;63
2024;Western Asia;ASW;Jordan;JOR;Social statistics;3;9;6;5;4;1;25;6,5;10;5,5;5;10;37;62
2020;Eastern Europe;EUE;Bulgaria;BGR;Social statistics;3;6;5,5;5,5;4,5;3,5;25;8,5;8,5;7;8,5;4,5;37;62
2024;South-Eastern Asia;ASE;Indonesia;IDN;Social statistics;3;7;5;5;5,5;2,5;25;7,5;10;6;5;7,5;36;61
2017;Northern Europe;EUN;Sweden;SWE;Social statistics;3;6,5;6;5,5;4;3;25;8;7;6,5;6,5;7;35;60
2016;Southern Europe;EUZ;Italy;ITA;Social statistics;3;6;4,5;4;6;4,5;25;8;6;4;8;8;34;59
2022;Western Asia;ASW;T?rkiye;TUR;Social statistics;3;8,5;6,5;6,5;2;1,5;25;10;2,5;5,5;5,5;9,5;33;58
2020;Central America;AMM;Costa Rica;CRI;Social statistics;3;8;6;5,5;3,5;2;25;9,5;9,5;4;5;5;33;58
2020;Northern Europe;EUN;Finland;FIN;Economic and financial statistics;1;7;7;7;3;1;25;7;7;6;6;6;32;57
2016;Northern Europe;EUN;Estonia;EST;Social statistics;3;6,5;6;6;4;2,5;25;8;8;4;7;4;31;56
2018;Eastern Europe;EUE;Bulgaria;BGR;Social statistics;3;6,5;6;6,5;4,5;1,5;25;8;7;5;7,5;3,5;31;56
2016;Eastern Europe;EUE;Czech Republic;CZE;Social statistics;3;6,5;6,5;5,5;4;2,5;25;7,5;7;2,5;6,5;7,5;31;56
2024;Eastern Asia;ASF;Taiwan;TWN;Social statistics;3;7,5;6;6,5;5;0;25;7,5;9;4;4,5;6;31;56
2016;Northern Europe;EUN;Latvia;LVA;Social statistics;3;6,5;6;6,5;3;3;25;7;8;4;7;4;30;55
2016;Northern Europe;EUN;Lithuania;LTU;Economic and financial statistics;1;7;7;7;3;1;25;7;7;0,5;5,5;3,5;23,5;48,5
2024;Southern Asia;ASZ;Sri Lanka;LKA;Social statistics;3;8,5;5;4,5;4;3;25;0,5;10;5;5;0;20,5;45,5
2022;Eastern Asia;ASF;Japan;JPN;Social statistics;3;7;5,5;5;5;2;24,5;10;8,5;7;5;10;40,5;65
2020;Eastern Asia;ASF;Japan;JPN;Social statistics;3;6,5;5,5;5;5,5;2;24,5;10;7,5;7,5;5,5;10;40,5;65
2020;Eastern Asia;ASF;Korea, Rep.;KOR;Social statistics;3;7;6,5;7;3;1;24,5;8,5;9;7,5;4,5;9;38,5;63
2024;Western Africa;AFW;Burkina Faso;BFA;Social statistics;3;7,5;6,5;6;4,5;0;24,5;7,5;10;7;5,5;7,5;37,5;62
2020;Southern Europe;EUZ;Portugal;PRT;Social statistics;3;6,5;6;6;3;3;24,5;9;9;6;9;4,5;37,5;62
2016;Northern Europe;EUN;Denmark;DNK;Social statistics;3;5,5;5,5;5,5;4;4;24,5;8;8;4;8;8;36;60,5
2022;Northern Europe;EUN;Denmark;DNK;Economic and financial statistics;1;7;7;7;2,5;1;24,5;7;7;6;7;7;34;58,5
2020;North America;AMN;United States;USA;Economic and financial statistics;1;7;7;7;2,5;1;24,5;7;7;7;5;6;32;56,5
2024;Eastern Africa;AFE;Rwanda;RWA;Social statistics;3;8,5;5,5;3,5;4,5;2,5;24,5;4;9,5;3;5,5;10;32;56,5
2024;South-Eastern Asia;ASE;Thailand;THA;Social statistics;3;7;6,5;5,5;5;0,5;24,5;6;10;5;5;5;31;55,5
2020;North America;AMN;Canada;CAN;Economic and financial statistics;1;7;7;7;2,5;1;24,5;7;7;7;6,5;3,5;31;55,5
2022;North America;AMN;Canada;CAN;Economic and financial statistics;1;7;7;7;2,5;1;24,5;7;7;6;6,5;3,5;30;54,5
2018;North America;AMN;Canada;CAN;Economic and financial statistics;1;7;7;7;3;0,5;24,5;7;7;5,5;7;3,5;30;54,5
2018;South America;AMZ;Peru;PER;Social statistics;3;7,5;6;6,5;4;0,5;24,5;7,5;8;5;5,5;0;26;50,5
2024;Western Africa;AFW;Togo;TGO;Social statistics;3;9,5;5,5;4,5;4,5;0,5;24,5;4,5;10;4,5;5;0;24;48,5
2024;Central America;AMM;Honduras;HND;Social statistics;3;8;6;5,5;4,5;0,5;24,5;8,5;5,5;4;5,5;0;23,5;48
2015;Western Asia;ASW;T?rkiye;TUR;Social statistics;3;7;6;6;3;2,5;24,5;7,5;2,5;2,5;8;0;20,5;45
2015;Caribbean;AMC;Cuba;CUB;Social statistics;3;6;5;6;5;2,5;24,5;5;0;0;8;0;13;37,5
2020;South-Eastern Asia;ASE;Singapore;SGP;Social statistics;3;8;8;8;0;0;24;10;10;10;10;10;50;74
2022;Southern Europe;EUZ;Italy;ITA;Social statistics;3;6,5;5;6;3,5;3;24;10;9;7,5;9,5;10;46;70
2018;Southern Europe;EUZ;Italy;ITA;Social statistics;3;5,5;4,5;5,5;4,5;4;24;9;9;9;9;9;45;69
2022;Australia and New Zealand;OAZ;Australia;AUS;Social statistics;3;7,5;6;6;4;0,5;24;10;8;6;10;10;44;68
2022;Western Asia;ASW;Georgia;GEO;Social statistics;3;8,5;6,5;6,5;2,5;0;24;9;10;8;6,5;9,5;43;67
2024;Southern Europe;EUZ;Serbia;SRB;Social statistics;3;7;6,5;6;3;1,5;24;8,5;10;7;8;5;38,5;62,5
2024;Western Europe;EUW;Austria;AUT;Social statistics;3;7;6;6;3;2;24;9,5;10;6;7,5;5;38;62
2018;Eastern Asia;ASF;Mongolia;MNG;Social statistics;3;6,5;6,5;6,5;2,5;2;24;8;8;8;5;8;37;61
2022;South-Eastern Asia;ASE;Indonesia;IDN;Social statistics;3;6,5;5,5;5;5;2;24;6,5;9,5;5,5;5,5;9;36;60
2020;South-Eastern Asia;ASE;Indonesia;IDN;Social statistics;3;7,5;5,5;5;5,5;0,5;24;6,5;10;5,5;5;9;36;60
2017;Eastern Europe;EUE;Bulgaria;BGR;Social statistics;3;5,5;5,5;5,5;5,5;2;24;8;8;8;8;4;36;60
2024;Western Europe;EUW;Netherlands;NLD;Economic and financial statistics;1;7;7;7;2;1;24;7;7;7;7;7;35;59
2020;Australia and New Zealand;OAZ;Australia;AUS;Social statistics;3;7;6,5;5,5;4,5;0,5;24;9;3,5;4;8,5;10;35;59
2024;Northern Europe;EUN;Denmark;DNK;Economic and financial statistics;1;7;7;7;2;1;24;7;7;7;6,5;7;34,5;58,5
2022;Western Asia;ASW;Jordan;JOR;Social statistics;3;8;5,5;5;4,5;1;24;5,5;9,5;5,5;5;8,5;34;58
2020;Northern Europe;EUN;Denmark;DNK;Economic and financial statistics;1;7;7;6,5;2,5;1;24;7;7;6;7;7;34;58
2024;Northern Europe;EUN;Finland;FIN;Economic and financial statistics;1;7;7;7;2;1;24;7;7;7;6;6,5;33,5;57,5
2016;Northern Europe;EUN;Finland;FIN;Economic and financial statistics;1;7;7;7;2;1;24;7;7;6,5;6,5;6,5;33,5;57,5
2022;Eastern Europe;EUE;Russian Federation;RUS;Social statistics;3;7;7;6,5;3;0,5;24;6;9,5;5,5;7;5,5;33,5;57,5
2018;Northern Europe;EUN;Lithuania;LTU;Social statistics;3;7,5;6,5;6,5;2;1,5;24;8,5;9;8,5;7;0;33;57
2017;Eastern Europe;EUE;Poland;POL;Social statistics;3;5,5;5,5;5,5;4,5;3;24;7;8;5;5;8;33;57
2024;North America;AMN;United States;USA;Economic and financial statistics;1;7;7;7;2;1;24;7;7;7;4,5;7;32,5;56,5
2024;Eastern Europe;EUE;Poland;POL;Economic and financial statistics;1;7;7;7;3;0;24;7;7;6,5;5,5;6,5;32,5;56,5
2022;Northern Europe;EUN;Finland;FIN;Economic and financial statistics;1;7;7;7;2,5;0,5;24;7;7;5,5;6;6;31,5;55,5
2020;Caribbean;AMC;Dominican Republic;DOM;Social statistics;3;7,5;5,5;5,5;2,5;3;24;9;9;4,5;7;0,5;30;54
2024;Western Asia;ASW;Palestine;PSE;Economic and financial statistics;1;7;6,5;7;2,5;1;24;7;7;4;4,5;6,5;29;53
2022;South America;AMZ;Peru;PER;Social statistics;3;7,5;6,5;6,5;3,5;0;24;9;9;5,5;5;0,5;29;53
